"ca","k","MAP","d","optwL","difference"
400,0.025,912.5,9,0.130350976673942,-0.000627125968364173
400,0.05,912.5,9,0.129424718666645,-5.10228682607528e-05
400,0.1,912.5,9,0.128678458446099,-6.03128658127616e-14
400,0.025,1825,9,0.131586840976288,-0.00130338579900238
400,0.05,1825,9,0.130677141997975,-0.000608920968116849
400,0.1,1825,9,0.129899872135352,0.000123067052805181
400,0.025,3650,9,0.132600842424618,-0.00187009932759211
400,0.05,3650,9,0.132123294347763,0.00105143757619616
400,0.1,3650,9,0.131459715731597,0.000655377772978055
400,0.025,912.5,10,0.126827154699026,-0.000662590504164395
400,0.05,912.5,10,0.125952393474545,-0.000138298771172773
400,0.1,912.5,10,0.125250686125698,7.7715611723761e-15
400,0.025,1825,10,0.128038057459807,0.000885638980815728
400,0.05,1825,10,0.12716794769281,0.000541674319460533
400,0.1,1825,10,0.126380341624533,-0.000205103876241564
400,0.025,3650,10,0.128875159238388,-0.00171318469253359
400,0.05,3650,10,0.128289255432957,-0.00108337696853369
400,0.1,3650,10,0.12780910167124,-0.000928698643434173
400,0.025,912.5,11,0.12374915824371,0.000628815005003391
400,0.05,912.5,11,0.122902827303983,0.000156933884681396
400,0.1,912.5,11,0.122235797504395,-3.21964677141295e-15
400,0.025,1825,11,0.124828563596056,-0.001309214726263
400,0.05,1825,11,0.123993874975274,-0.000666004137164403
400,0.1,1825,11,0.123296427757653,0.000232003149041829
400,0.025,3650,11,0.1255837617642,-0.00151926730811444
400,0.05,3650,11,0.12518512456891,-0.00132315403907991
400,0.1,3650,11,0.124622199946024,-0.000918330081585858
400,0.025,912.5,12,0.120965057246469,-0.000671389103059181
400,0.05,912.5,12,0.120182564461077,-0.000216902815262612
400,0.1,912.5,12,0.119552195929471,1.80411241501588e-15
400,0.025,1825,12,0.122091104858372,0.000991641837776863
400,0.05,1825,12,0.121279681422878,0.000648439937873252
400,0.1,1825,12,0.120548683074249,-0.000316189750128287
400,0.025,3650,12,0.122998981065257,0.00131120890531182
400,0.05,3650,12,0.122479955526988,0.00101764145600224
400,0.1,3650,12,0.121848463984372,0.000688069367858604
400,0.025,912.5,13,0.118452071944279,-0.000516466864356621
400,0.05,912.5,13,0.117752452430132,0.000206618668386241
400,0.1,912.5,13,0.117140332072141,3.19327897457811e-14
400,0.025,1825,13,0.119402746193911,-0.00104995393188137
400,0.05,1825,13,0.118703114086926,-0.000604942148606
400,0.1,1825,13,0.118083807241653,-0.000345506162662629
400,0.025,3650,13,0.120133776480668,-0.0013756271734475
400,0.05,3650,13,0.11977488109232,-0.00123453146110339
400,0.1,3650,13,0.119230782104212,-0.000810256413055988
400,0.025,912.5,14,0.116232241773148,-0.000622027031838987
400,0.05,912.5,14,0.115532644080723,-0.000283119399028822
400,0.1,912.5,14,0.11495434216913,-1.21569421196455e-14
400,0.025,1825,14,0.117238814769862,-0.0013178858621635
400,0.05,1825,14,0.116472529316712,-0.00071195533237832
400,0.1,1825,14,0.115844609180504,-0.000324753016225116
400,0.025,3650,14,0.118030722974033,-0.00176966182501435
400,0.05,3650,14,0.11759625342431,-0.00147816819105608
400,0.1,3650,14,0.116938540336482,-0.000797791662752192
400,0.025,912.5,15,0.114255097246257,0.000748786328853251
400,0.05,912.5,15,0.113529807368005,0.000289492818280723
400,0.1,912.5,15,0.112959079816356,1.32713123336681e-06
400,0.025,1825,15,0.115202060034888,0.00131070839226803
400,0.05,1825,15,0.11448347861847,0.00078267918176167
400,0.1,1825,15,0.113823967577749,-0.000416160715660932
400,0.025,3650,15,0.115896589285315,-0.00169620741426987
400,0.05,3650,15,0.115464145994307,-0.001396463975223
400,0.1,3650,15,0.114954086322155,0.000809670576139288
